class,pointer_offset,vtable,first_slot
AlphaNet,0x0,0x0066941C,sub_5d4c50
AlphaNet,0x0,0x0066EAE8,sub_5d4890
BasePop,0x0,0x006698C4,?fill_entry@StringList@@QAEHPAUStringStruct@@@Z
BaseWin,0x0,0x00669754,??_GFlatButton@@UAEPAXI@Z
BaseWin,0x0,0x006698C4,?fill_entry@StringList@@QAEHPAUStringStruct@@@Z
BaseWin,0x444,0x0066974C,??_GFlatButton@@WEEE@AEPAXI@Z
Datalink,0x0,0x006698C4,?fill_entry@StringList@@QAEHPAUStringStruct@@@Z
DiploWin,0x0,0x006693A4,?UNK5@AlphaMovie@@QAEHH@Z
DiploWin,0x0,0x00669754,??_GFlatButton@@UAEPAXI@Z
DiploWin,0x0,0x006698C4,?fill_entry@StringList@@QAEHPAUStringStruct@@@Z
DiploWin,0x444,0x0066974C,??_GFlatButton@@WEEE@AEPAXI@Z
ImageButton,0x0,0x00670A94,??_GImageButton@@UAEPAXI@Z
ImageButton,0x444,0x00670A8C,??_GImageButton@@WEEE@AEPAXI@Z
MainInterface,0x0,0x006693A4,?UNK5@AlphaMovie@@QAEHH@Z
MainInterface,0x0,0x00669754,??_GFlatButton@@UAEPAXI@Z
MainInterface,0x0,0x006698C4,?fill_entry@StringList@@QAEHPAUStringStruct@@@Z
MainInterface,0x444,0x0066974C,??_GFlatButton@@WEEE@AEPAXI@Z
MapWin,0x0,0x006698C4,?fill_entry@StringList@@QAEHPAUStringStruct@@@Z
MessageWin,0x0,0x00669754,??_GFlatButton@@UAEPAXI@Z
MessageWin,0x0,0x006698C4,?fill_entry@StringList@@QAEHPAUStringStruct@@@Z
MessageWin,0x444,0x0066974C,??_GFlatButton@@WEEE@AEPAXI@Z
Midi_Device,0x0,0x0066E098,__purecall
Net,0x0,0x0066941C,sub_5d4c50
NetDaemon,0x0,0x0066941C,sub_5d4c50
NetDaemon,0x0,0x0066EAE8,sub_5d4890
NetMsg,0x0,0x006698C4,?fill_entry@StringList@@QAEHPAUStringStruct@@@Z
NetWin,0x0,0x006693A4,?UNK5@AlphaMovie@@QAEHH@Z
NetWin,0x0,0x00669754,??_GFlatButton@@UAEPAXI@Z
NetWin,0x0,0x006698C4,?fill_entry@StringList@@QAEHPAUStringStruct@@@Z
NetWin,0x444,0x0066974C,??_GFlatButton@@WEEE@AEPAXI@Z
NewTechWin,0x0,0x006693A4,?UNK5@AlphaMovie@@QAEHH@Z
NewTechWin,0x0,0x00669754,??_GFlatButton@@UAEPAXI@Z
NewTechWin,0x0,0x006698C4,?fill_entry@StringList@@QAEHPAUStringStruct@@@Z
NewTechWin,0x444,0x0066974C,??_GFlatButton@@WEEE@AEPAXI@Z
PickWin,0x0,0x00669754,??_GFlatButton@@UAEPAXI@Z
PickWin,0x444,0x0066974C,??_GFlatButton@@WEEE@AEPAXI@Z
PopMenu,0x0,0x006698C4,?fill_entry@StringList@@QAEHPAUStringStruct@@@Z
Popup,0x0,0x006698C4,?fill_entry@StringList@@QAEHPAUStringStruct@@@Z
ProdPicker,0x0,0x006698C4,?fill_entry@StringList@@QAEHPAUStringStruct@@@Z
PushButton,0x0,0x00670C60,??_GPushButton@@UAEPAXI@Z
PushButton,0x444,0x00670C58,??_GPushButton@@WEEE@AEPAXI@Z
StringBox,0x0,0x006698C4,?fill_entry@StringList@@QAEHPAUStringStruct@@@Z
TutWin,0x0,0x006698C4,?fill_entry@StringList@@QAEHPAUStringStruct@@@Z
Wave_In_Device,0x0,0x0066E098,__purecall
